m.030jcx6	m.0271t
m.0271t	m.05n3dvc	food/type_of_dish/dishes
m.022dwd	m.0271t	food/dish/type_of_dish1
m.0271t	m.0c5yy	common/topic/subject_of
m.01xs0yn	m.0271t	freebase/equivalent_topic/equivalent_type
m.030jcx6	m.09c7w0	music/release/region
m.0271t	m.05n4wmr	food/dish/type_of_dish1
m.0271t	m.058hry	food/dish/type_of_dish1
m.02l840	m.030jcx6	music/release/producers
m.0271t	m.085kgv	food/dish/type_of_dish1
m.01482f	m.0271t	business/consumer_product/brand
m.0271t	m.02psthj	food/dish/type_of_dish1
m.026b0vg	m.0271t	food/dish/type_of_dish1
m.01nr56	m.0271t	food/type_of_dish/dishes
m.0271t	m.0g5nyx8	food/dish/type_of_dish1
m.0271t	m.05b1swx	food/dish/type_of_dish1
m.0271t	m.05n2x8b	food/dish/type_of_dish1
m.0271t	m.05n1jsc	food/type_of_dish/dishes
m.0271t	m.02q476	food/dish/type_of_dish1
m.0271t	m.05n8yc6	food/dish/type_of_dish1
m.0271t	m.05n93c2	food/dish/type_of_dish1
m.0271t	m.0h228t	food/dish/type_of_dish1
m.0271t	m.02pr0jg	food/dish/type_of_dish1
m.0271t	m.0347py	business/consumer_product/brand
m.024jj	m.0271t	food/dish/type_of_dish1
m.0271t	m.03t_hd	food/dish/type_of_dish1
m.0271t	m.04gs17	food/dish/type_of_dish1
m.030jcx6	m.0818ys	music/release/producers
m.0271t	m.03qp04	business/consumer_product/brand
m.0271t	m.0271vf7	food/type_of_dish/dishes
m.0271t	m.034hjy	business/consumer_product/brand
m.0271t	m.02r5ml	common/topic/subjects
m.01kl_lv	m.030jcx6	music/producer/releases_produced
m.01www	m.030jcx6	music/release/format
m.0271t	m.0279780	food/dish/type_of_dish1
m.0271t	m.063dl12	food/dish/type_of_dish1
m.0271t	m.05722ly	food/dish/type_of_dish1
m.0271t	m.03yw69j	common/topic/notable_types
