m.07yfm5j	m.02c09n5
m.02sdk9v	m.064kksf	soccer/football_position/players
m.01rxw2	m.02_1y_3	common/topic/notable_for
m.01xrdt1	m.0v_dwpd	type/type/properties
m.01nm	m.05kr_	common/topic/notable_types
m.02_3pwz	m.035qyr9	freebase/type_hints/included_types
m.0f0w6n	m.0jyckr	film/producer/film
m.05zppz	m.0bg8zwf	people/person/gender
m.0_mtx1n	m.0jtdp	film/film/genre
m.02_3pwz	m.04nsgbr	type/object/permission
m.05vz3zq	m.0z44km0	people/person/nationality
m.04nsf_h	m.04nsgbr	type/object/permission
m.01523_	m.05mzx_v	location/location/people_born_here
m.01523_	m.064kksf	location/location/people_born_here
m.014s	m.02_1y_3	type/type/domain
m.05sn9xb	m.05snb44	type/property/schema
m.02564hg	m.02565x1	type/object/permission
m.05zppz	m.0hhrnv3	people/person/gender
m.04nsf_h	m.04nsgmr	type/object/permission
m.04gzd	m.0sxg1f3	people/person/nationality
m.01523_	m.0376w2	location/location/containedby
m.01kpyw	m.02_1y_3	common/topic/notable_for
m.04gzd	m.0hhrnv3	people/person/nationality
m.01523_	m.0z3w3gt	location/location/people_born_here
m.015m08	m.02_1y_3	common/topic/notable_for
m.01y2hf6	m.04nsh_r	type/object/permission
m.03xnwz	m.051zct1	music/genre/artists
m.01523_	m.02ly4c	travel/travel_destination/tourist_attractions
m.01523_	m.043ppml	location/location/people_born_here
m.01nm	m.01xrdt1	type/object/permission
m.02wts7n	m.02wtsbm	type/property/schema
m.05vz3zq	m.0jyckr	people/person/nationality
m.01zkv4	m.0415320	people/deceased_person/place_of_death
m.0415320	m.05zppz	people/person/gender
m.01nm	m.059s8	common/topic/notable_types
m.0345h	m.0bg8zwf	people/person/nationality
m.0345h	m.0_mtx1n	film/film/country
m.01xrdt1	m.01xrdtf	type/type/properties
m.01523_	m.0nf3q0h	location/location/people_born_here
m.01nm	m.02hqglv	freebase/type_profile/published
m.01523_	m.04gzd	location/location/contains
m.01y2hf6	m.01z0s37	type/object/permission
m.01xljtp	m.02k_cjm	type/property/schema
m.01523_	m.02j9z	location/location/containedby
m.02_1y_3	m.068cn	common/topic/notable_for
m.01nm	m.04nsgmr	type/object/permission
m.02n7m1	m.04gzd	base/aareas/schema/administrative_area/administrative_parent
m.01523_	m.02c09n5	common/topic/image
m.01xrdt1	m.0h185pw	type/type/expected_by
m.04gzd	m.0z44km0	people/person/nationality
m.01y2hf6	m.021ypsm	type/object/permission
m.014s	m.04nsgmr	freebase/query_hints/related_domain
m.02_1y_3	m.06w92	common/topic/notable_for
m.01y2hnl	m.0376w2	common/topic/notable_types
m.01xrdt1	m.0646gj4	type/type/expected_by
m.01523_	m.0bc3t1	location/location/people_born_here
m.02564hg	m.025661b	type/object/permission
m.05zppz	m.0bc3t1	people/person/gender
m.04gzd	m.064kksf	people/person/nationality
m.02564g2	m.02564hg	type/property/schema
m.025d8rl	m.0hr9vmd	common/topic/notable_types
m.01nm	m.02_1y_3	type/object/permission
m.014s	m.01nm	type/type/domain
m.01523_	m.02n7m1	location/location/contains
m.05zppz	m.0jyckr	people/person/gender
m.02nzb8	m.0hhrnv3	soccer/football_player/position_s
m.04gzd	m.051zct1	people/person/nationality
m.02564hg	m.02h542h	type/object/permission
m.02_1y_3	m.02_3pwz	type/object/permission
m.02hrh1q	m.0z44km0	people/profession/people_with_this_profession
m.01xrrch	m.0sxg1f3	common/topic/notable_types
m.01xrdt1	m.02_1y_3	type/object/permission
m.04j915y	m.04nsgmr	freebase/query_hints/preferred_view
m.02_1y_3	m.0dlw0	common/topic/notable_for
m.02_1y_3	m.0nr2v	common/topic/notable_for
m.01xljt3	m.01y2hf6	type/object/permission
m.01y2hf6	m.02hrl9t	type/object/permission
m.027zwd_	m.02nzb8	soccer/football_player/position_s
m.01k4f	m.04y8tsj	people/deceased_person/place_of_death
m.0bg8zwf	m.0dxtg	people/profession/people_with_this_profession
m.051zct1	m.0nbcg	people/person/profession
m.02_3pwz	m.02hpz31	freebase/type_hints/included_types
m.02_1y_3	m.02_1y_w	type/type/properties
m.02_1y_3	m.0c61p	common/topic/notable_for
m.02_1y_3	m.0kn68	common/topic/notable_for
m.04gzd	m.0jyckr	people/person/nationality
m.01n7	m.02_3pwz	freebase/type_hints/included_types
m.026p53n	m.05zppz	people/person/gender
m.01c5	m.02_1y_3	freebase/type_profile/strict_included_types
m.05zppz	m.0cnc1f	people/person/gender
m.02ly4c	m.0c7g7	common/topic/notable_for
m.02nzb8	m.043ppml	soccer/football_player/position_s
m.01nm	m.05rh2	common/topic/notable_types
m.01xrdt1	m.02_3pwz	type/object/permission
m.0jsg3d	m.0zb09sv	common/topic/notable_types
m.0jsg3d	m.0z3w3gt	common/topic/notable_types
m.0376w2	m.04gzd	location/location/containedby
m.01nm	m.0j95	common/topic/notable_types
m.016clz	m.051zct1	music/genre/artists
m.02_3pwz	m.02_775m	freebase/type_hints/included_types
m.02hrh1q	m.0jyckr	people/person/profession
m.04306rv	m.0_mtx1n	film/film/language
m.05mzx_v	m.05zppz	people/person/gender
m.01523_	m.0415320	location/location/people_born_here
m.02_1y_3	m.04nsgmr	type/object/permission
m.02_1y_3	m.06whr9g	freebase/type_kind/types
m.062z7	m.0n5x5gm	people/profession/people_with_this_profession
m.04gzd	m.0gysmp2	people/person/nationality
m.0bm6py3	m.0bml2qy	type/property/schema
m.01523_	m.0zb09sv	location/location/people_born_here
m.01523_	m.027zwd_	location/location/people_born_here
m.02_1y_3	m.078lk	common/topic/notable_for
m.02jknp	m.0bg8zwf	people/profession/people_with_this_profession
m.01nm	m.0694j	common/topic/notable_for
m.05zppz	m.0z3w3gt	people/person/gender
m.014s	m.04nsgbr	freebase/query_hints/related_domain
m.01523_	m.0_mtx1n	film/film/featured_film_locations
m.01nm	m.06wrhm1	freebase/type_profile/kind
m.01nm	m.035qyr9	freebase/type_hints/included_types
m.01xrrch	m.0bc3t1	common/topic/notable_types
m.04gzd	m.0_mtx1n	film/film/country
m.02n7m1	m.067znx	location/location/contains
m.01nm	m.04nsgbr	type/object/permission
m.01s35v	m.02n7m1	location/location/contains
m.01nm	m.02hpz31	freebase/type_hints/included_types
m.02_1y_3	m.02hqglv	freebase/type_status/types
m.02jknp	m.0z3w3gt	people/profession/people_with_this_profession
m.0345h	m.0415320	people/person/nationality
m.02hrh1q	m.0bg8zwf	people/profession/people_with_this_profession
m.01xrdt1	m.0bhgznc	type/property/expected_type
m.01523_	m.0w7djx2	location/location/people_born_here
m.01523_	m.0ddfkml	location/location/people_born_here
m.05zppz	m.0ddfkml	people/person/gender
m.01xljr1	m.02k_cjm	type/object/permission
m.02hrh1q	m.04y8tsj	people/person/profession
m.0cnc1f	m.0fr_b	people/deceased_person/place_of_death
m.01xrdt1	m.07yfkn8	type/type/expected_by
m.01xrdt1	m.04yl11z	type/type/expected_by
m.04gzd	m.0z3w3gt	people/person/nationality
m.01xrdt1	m.03bs_74	type/type/properties
m.014s	m.078x4m	freebase/domain_profile/equivalent_topic
m.01c5	m.01nm	freebase/type_profile/strict_included_types
m.04yl0zv	m.04yl11z	type/property/schema
m.01xrdt1	m.01xrdtp	type/type/properties
m.04ghln	m.05zppz	people/person/gender
m.05zppz	m.0g5s28b	people/person/gender
m.01523_	m.0n5x5gm	location/location/people_born_here
m.05zppz	m.0sxg1f3	people/person/gender
m.01xrdt1	m.05snb44	type/type/expected_by
m.01nm	m.02_775m	freebase/type_hints/included_types
m.015jr	m.01nm	common/topic/notable_for
m.01xrdt1	m.0glhn6v	type/type/properties
m.04gzd	m.0nf3q0h	people/person/nationality
m.02_1y_3	m.07kg3	common/topic/notable_for
m.026p53n	m.02_j1w	soccer/football_player/position_s
m.01nm	m.04s7y	common/topic/notable_for
m.014s	m.02_3pwz	type/domain/types
m.02_1y_3	m.04nsf_h	type/object/permission
m.02n7m1	m.03plfd	time/time_zone/locations_in_this_time_zone
m.0355dz	m.0sxg1f3	basketball/basketball_position/players
m.01nm	m.06nrt	common/topic/notable_for
m.04j915y	m.04nsgbr	freebase/query_hints/preferred_view
m.01xrdt1	m.0bml2qy	type/property/expected_type
m.01nm	m.059t8	common/topic/notable_types
m.027zwd_	m.05zppz	people/person/gender
m.01523_	m.0cnc1f	location/location/people_born_here
m.01xrrch	m.05mzx_v	common/topic/notable_types
m.05y_xnz	m.05z1qk2	type/property/schema
